ngram,company,value
_course,Black  Plus,1
_download,Black  Spot,1
_havent,Black  Spot,1
_love,Black  Spot,1
_much,Black,1
_one,Configuration: Fire TV Stick,1
_though,Black  Dot,2
abay_monitor,Black  Show,1
abc_day,Configuration: Fire TV Stick,1
abd_start,Configuration: Fire TV Stick,1
ability_adjust,White  Plus,1
ability_alexa,Black  Plus,1
ability_alexa,White  Show,1
ability_contact,Black,1
ability_control,Black  Plus,1
ability_create,White  Plus,1
ability_day,Heather Gray Fabric ,2
ability_example,Sandstone Fabric ,2
ability_fall,White  Spot,1
ability_got,Black  Show,1
ability_listen,Black  Dot,2
ability_make,Black  Spot,1
ability_multiple,White  Dot,2
ability_music,Black  Plus,1
ability_night,White  Spot,1
ability_play,Black  Plus,1
ability_play,Black  Show,1
ability_play,Black  Spot,2
ability_respond,White  Show,1
ability_see,Black  Show,1
ability_shopping,Black  Plus,1
ability_talk,White,1
ability_watch,Configuration: Fire TV Stick,1
able_access,Black  Plus,1
able_access,Black  Show,1
able_accomplish,Black  Spot,1
able_add,Black  Dot,2
able_alexa,Black  Spot,1
able_answer,Black  Spot,1
able_buy,White  Plus,1
able_call,Black  Plus,2
able_completely,White  Spot,1
able_connect,Black  Show,1
able_connect,Black  Spot,1
able_connect,Configuration: Fire TV Stick,1
able_contact,White  Dot,2
able_control,Black  Dot,2
able_control,Black  Show,1
able_download,Heather Gray Fabric ,2
able_easily,Black  Show,1
able_explore,Black  Show,1
able_find,White,1
able_follow,Sandstone Fabric ,2
able_get,White  Spot,1
able_ha,Sandstone Fabric ,2
able_hear,Black  Dot,2
able_hear,Black  Show,1
able_hook,Black  Dot,2
able_idea,Black  Show,1
able_install,Heather Gray Fabric ,2
able_interpret,Black  Spot,1
able_link,Black  Plus,1
able_listen,Black  Plus,1
able_listen,Black  Show,1
able_listen,Charcoal Fabric ,4
able_make,Black  Dot,2
able_manage,White  Dot,2
able_name,Black  Plus,1
able_open,Configuration: Fire TV Stick,1
able_play,Black  Plus,2
able_play,Charcoal Fabric ,4
able_put,Black  Show,1
able_read,Black  Show,1
able_read,White  Show,1
able_see,Black  Show,5
able_see,Black  Spot,1
able_see,White  Show,1
able_see,White  Spot,1
able_self,White  Spot,1
able_set,Black  Show,1
able_set,Configuration: Fire TV Stick,1
able_set,White  Dot,4
able_set,White  Spot,1
able_shout,White  Plus,1
able_start,Sandstone Fabric ,2
able_sync,Sandstone Fabric ,2
able_talk,Black  Plus,1
able_talk,Black  Show,1
able_tell,Black  Show,1
able_tell,Black  Spot,2
able_tell,Charcoal Fabric ,2
able_tell,Configuration: Fire TV Stick,1
able_turn,Black  Show,1
able_turn,Walnut Finish ,1
able_use,Black  Plus,1
able_use,Black  Show,1
able_use,Charcoal Fabric ,2
able_use,Configuration: Fire TV Stick,2
able_voice,Charcoal Fabric ,2
able_watch,Black  Show,1
able_watch,Configuration: Fire TV Stick,5
abode_home,Heather Gray Fabric ,2
absolutely_amazing,Black  Dot,2
absolutely_amazing,Configuration: Fire TV Stick,1
absolutely_everything,Black  Dot,2
absolutely_great,Black,1
absolutely_great,Charcoal Fabric ,2
absolutely_love,Black,3
absolutely_love,Black  Dot,4
absolutely_love,Black  Plus,1
absolutely_love,Black  Show,5
absolutely_love,Black  Spot,5
absolutely_love,Charcoal Fabric ,4
absolutely_love,Configuration: Fire TV Stick,3
absolutely_love,White  Plus,1
absolutely_love,White  Show,2
absolutely_love,White  Spot,2
absolutely_response,Black  Spot,1
absolutly_love,Black,1
ac_thermostat,Charcoal Fabric ,2
ac_wifi,Black  Show,1
accent_birth,Black,1
accent_day,Black  Plus,1
accent_lower,White  Spot,1
accentthe_music,Black  Dot,2
acceptable_optionmoreover,Black  Spot,1
accepting_amazonalexa,Black  Plus,1
access_alexa,Black  Spot,1
access_amazon,Black  Plus,1
access_apps,Configuration: Fire TV Stick,1
access_better,Black  Dot,2
access_cable,Configuration: Fire TV Stick,1
access_current,Configuration: Fire TV Stick,1
access_definitely,Configuration: Fire TV Stick,1
access_device,Black  Show,1
access_disappointed,Configuration: Fire TV Stick,1
access_echo,Charcoal Fabric ,2
access_flash,Black  Spot,1
access_million,Charcoal Fabric ,2
access_much,Charcoal Fabric ,2
access_music,Black  Plus,1
access_music,Charcoal Fabric ,2
access_music,White  Show,1
access_news,Black  Spot,1
access_phone,Black  Dot,2
access_phone,White  Dot,2
access_wikipedia,Black  Plus,1
access_world,Black  Spot,1
access_youtube,Black  Show,2
access_youtubeit,Black  Spot,1
accessable_wish,Black  Show,1
accessible_found,Heather Gray Fabric ,2
accessing_apps,Configuration: Fire TV Stick,1
accessing_pandora,Black,1
accessneeds_hear,Black  Plus,1
accessto_intelagence,Black  Show,1
accident_need,White  Plus,1
accidentally_spilled,Charcoal Fabric ,2
accompanying_video,Black  Show,1
accomplish_bonus,Black  Spot,1
accomplish_taskthe,Black  Spot,1
accomplished_never,Black,1
according_history,Black  Show,1
according_return,White,1
account_also,Configuration: Fire TV Stick,1
account_asking,Black  Show,1
account_attached,Black,1
account_cant,Sandstone Fabric ,2
account_correctly,Black  Show,1
account_find,White  Plus,1
account_firestick,Configuration: Fire TV Stick,1
account_good,Black  Plus,1
account_lil,Black  Spot,1
account_must,Charcoal Fabric ,2
account_one,Black  Show,1
account_perfect,Black  Show,1
account_thing,Black  Show,1
account_think,Charcoal Fabric ,2
account_turn,White  Plus,1
account_wa,Black  Plus,1
accuracy_alexa,Black  Plus,1
accuracy_variety,White  Show,1
accurate_imagined,White,1
accurately_alexa,Charcoal Fabric ,2
accustom_asked,Black  Dot,2
acknowledge_command,Black,1
acoustical_sound,White  Show,1
across_bottom,Black  Show,1
across_country,Black  Show,1
across_country,White  Show,1
across_home,White  Show,1
across_house,Black  Show,1
across_room,Black,1
across_room,Black  Dot,2
across_room,Charcoal Fabric ,2
across_room,White  Show,1
across_sound,Black  Plus,1
across_spot,White  Spot,1
act_clock,White  Spot,1
act_encyclopedia,Black,1
act_like,Black  Show,1
act_new,Black  Spot,1
act_together,Black  Show,1
act_together,Black  Spot,1
acting_clock,White  Spot,1
acting_funny,Black  Spot,1
action_button,White,1
action_perform,Charcoal Fabric ,2
activate_,Configuration: Fire TV Stick,1
activate_purpose,Black  Plus,1
activated_device,White  Dot,2
activated_dont,Black  Plus,1
activated_light,Black  Show,1
activated_make,Black  Plus,1
activated_nobody,White,1
activated_start,White,1
activates_meaningful,White  Show,1
activating_one,Black  Show,1
actively_using,Black,1
actually_came,Black  Spot,1
actually_differ,Black  Plus,1
actually_fix,Black  Show,1
actually_fix,White,1
actually_hire,White  Spot,1
actually_like,Black  Spot,1
actually_like,White  Show,1
actually_love,Configuration: Fire TV Stick,1
actually_made,Charcoal Fabric ,2
actually_much,Charcoal Fabric ,2
actually_playing,Black  Dot,2
actually_preferred,Black  Spot,1
actually_see,Black  Show,1
actually_seeing,Black  Show,1
actually_show,Black,1
actually_tested,Black  Spot,1
actually_throughout,Black  Dot,2
actually_understand,White  Plus,1
actually_use,White  Spot,1
actually_used,White  Show,1
actually_useful,Black  Spot,1
actually_work,Black  Plus,1
actually_alexa ,Black  Dot,2
ad_across,White  Show,1
ad_alexa,White  Spot,1
ad_forever,White  Spot,1
ad_say,Black  Plus,1
ad_watch,Black  Spot,1
adapted_machine,Black  Show,1
adapter_according,White,1
adapter_big,Configuration: Fire TV Stick,1
adapter_hope,Black,1
adapter_light,White  Plus,1
adapter_like,Black  Dot,2
adapter_may,Configuration: Fire TV Stick,1
adapter_shop,White,1
adapter_wa,Configuration: Fire TV Stick,1
adapter_wa,White,1
adapter_wasnt,Black,1
